Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0403M,2000,A01,2000 Annual,38945
CXUTOTALEXPLB0403M,2001,A01,2001 Annual,39451
CXUTOTALEXPLB0403M,2002,A01,2002 Annual,40318
CXUTOTALEXPLB0403M,2003,A01,2003 Annual,40525
CXUTOTALEXPLB0403M,2004,A01,2004 Annual,42701
CXUTOTALEXPLB0403M,2005,A01,2005 Annual,45068
CXUTOTALEXPLB0403M,2006,A01,2006 Annual,47582
CXUTOTALEXPLB0403M,2007,A01,2007 Annual,47510
CXUTOTALEXPLB0403M,2008,A01,2008 Annual,48159
CXUTOTALEXPLB0403M,2009,A01,2009 Annual,46494
CXUTOTALEXPLB0403M,2010,A01,2010 Annual,46617
CXUTOTALEXPLB0403M,2011,A01,2011 Annual,48097
CXUTOTALEXPLB0403M,2012,A01,2012 Annual,49544
CXUTOTALEXPLB0403M,2013,A01,2013 Annual,48087
CXUTOTALEXPLB0403M,2014,A01,2014 Annual,49547
CXUTOTALEXPLB0403M,2015,A01,2015 Annual,52062
CXUTOTALEXPLB0403M,2016,A01,2016 Annual,52838
CXUTOTALEXPLB0403M,2017,A01,2017 Annual,55325
CXUTOTALEXPLB0403M,2018,A01,2018 Annual,56457
CXUTOTALEXPLB0403M,2019,A01,2019 Annual,57128
CXUTOTALEXPLB0403M,2020,A01,2020 Annual,57641
