DATE,PCU32733132733106
2019-02-01,250.5
2019-03-01,252.4
2019-04-01,253.3
2019-05-01,256.5
2019-06-01,254.1
2019-07-01,253.4
2019-08-01,252.1
2019-09-01,253.4
2019-10-01,251.1
2019-11-01,251.9
2019-12-01,252.7
2020-01-01,252.9
2020-02-01,253.7
2020-03-01,257.2
2020-04-01,257.6
2020-05-01,263.3
2020-06-01,263.3
2020-07-01,261.4
2020-08-01,261.4
2020-09-01,263.3
2020-10-01,263.3
2020-11-01,263.3
2020-12-01,263.3
2021-01-01,263.5
2021-02-01,264.4
2021-03-01,264.3
2021-04-01,265.7
2021-05-01,269.0
2021-06-01,269.9
2021-07-01,269.0
2021-08-01,269.0
2021-09-01,273.0
