,avg_expenditure_35_44
2001-01,45296.0
2001-02,45443.0
2001-03,45590.0
2001-04,45737.0
2001-05,45884.0
2001-06,46031.0
2001-07,46178.0
2001-08,46325.0
2001-09,46472.0
2001-10,46619.0
2001-11,46766.0
2001-12,46913.0
2002-01,47026.0
2002-02,47144.0
2002-03,47262.0
2002-04,47380.0
2002-05,47498.0
2002-06,47616.0
2002-07,47734.0
2002-08,47852.0
2002-09,47970.0
2002-10,48088.0
2002-11,48206.0
2002-12,48324.0
2003-01,48234.0
2003-02,48138.0
2003-03,48042.0
2003-04,47946.0
2003-05,47850.0
2003-06,47754.0
2003-07,47658.0
2003-08,47562.0
2003-09,47466.0
2003-10,47370.0
2003-11,47274.0
2003-12,47178.0
2004-01,47444.0
2004-02,47713.0
2004-03,47982.0
2004-04,48251.0
2004-05,48520.0
2004-06,48789.0
2004-07,49058.0
2004-08,49327.0
2004-09,49596.0
2004-10,49865.0
2004-11,50134.0
2004-12,50403.0
2005-01,50801.0
2005-02,51200.0
2005-03,51599.0
2005-04,51998.0
2005-05,52397.0
2005-06,52796.0
2005-07,53195.0
2005-08,53594.0
2005-09,53993.0
2005-10,54392.0
2005-11,54791.0
2005-12,55190.0
2006-01,55380.0
2006-02,55570.0
2006-03,55760.0
2006-04,55950.0
2006-05,56140.0
2006-06,56330.0
2006-07,56520.0
2006-08,56710.0
2006-09,56900.0
2006-10,57090.0
2006-11,57280.0
2006-12,57470.0
2007-01,57598.0
2007-02,57720.0
2007-03,57842.0
2007-04,57964.0
2007-05,58086.0
2007-06,58208.0
2007-07,58330.0
2007-08,58452.0
2007-09,58574.0
2007-10,58696.0
2007-11,58818.0
2007-12,58940.0
2008-01,58924.0
2008-02,58914.0
2008-03,58904.0
2008-04,58894.0
2008-05,58884.0
2008-06,58874.0
2008-07,58864.0
2008-08,58854.0
2008-09,58844.0
2008-10,58834.0
2008-11,58824.0
2008-12,58814.0
2009-01,58682.0
2009-02,58556.0
2009-03,58430.0
2009-04,58304.0
2009-05,58178.0
2009-06,58052.0
2009-07,57926.0
2009-08,57800.0
2009-09,57674.0
2009-10,57548.0
2009-11,57422.0
2009-12,57296.0
2010-01,57188.0
2010-02,57075.0
2010-03,56962.0
2010-04,56849.0
2010-05,56736.0
2010-06,56623.0
2010-07,56510.0
2010-08,56397.0
2010-09,56284.0
2010-10,56171.0
2010-11,56058.0
2010-12,55945.0
2011-01,56056.0
2011-02,56166.0
2011-03,56276.0
2011-04,56386.0
2011-05,56496.0
2011-06,56606.0
2011-07,56716.0
2011-08,56826.0
2011-09,56936.0
2011-10,57046.0
2011-11,57156.0
2011-12,57266.0
2012-01,57337.0
2012-02,57403.0
2012-03,57469.0
2012-04,57535.0
2012-05,57601.0
2012-06,57667.0
2012-07,57733.0
2012-08,57799.0
2012-09,57865.0
2012-10,57931.0
2012-11,57997.0
2012-12,58063.0
2013-01,58129.0
2013-02,58189.0
2013-03,58249.0
2013-04,58309.0
2013-05,58369.0
2013-06,58429.0
2013-07,58489.0
2013-08,58549.0
2013-09,58609.0
2013-10,58669.0
2013-11,58729.0
2013-12,58789.0
2014-01,59095.0
2014-02,59406.0
2014-03,59717.0
2014-04,60028.0
2014-05,60339.0
2014-06,60650.0
2014-07,60961.0
2014-08,61272.0
2014-09,61583.0
2014-10,61894.0
2014-11,62205.0
2014-12,62516.0
2015-01,62747.0
2015-02,62982.0
2015-03,63217.0
2015-04,63452.0
2015-05,63687.0
2015-06,63922.0
2015-07,64157.0
2015-08,64392.0
2015-09,64627.0
2015-10,64862.0
2015-11,65097.0
2015-12,65332.0
2016-01,65426.0
2016-02,65518.0
2016-03,65610.0
2016-04,65702.0
2016-05,65794.0
2016-06,65886.0
2016-07,65978.0
2016-08,66070.0
2016-09,66162.0
2016-10,66254.0
2016-11,66346.0
2016-12,66438.0
2017-01,66660.0
2017-02,66876.0
2017-03,67092.0
2017-04,67308.0
2017-05,67524.0
2017-06,67740.0
2017-07,67956.0
2017-08,68172.0
2017-09,68388.0
2017-10,68604.0
2017-11,68820.0
2017-12,69036.0
2018-01,69214.0
2018-02,69394.0
2018-03,69574.0
2018-04,69754.0
2018-05,69934.0
2018-06,70114.0
2018-07,70294.0
2018-08,70474.0
2018-09,70654.0
2018-10,70834.0
2018-11,71014.0
2018-12,71194.0
2019-01,71506.0
2019-02,71814.0
2019-03,72122.0
2019-04,72430.0
2019-05,72738.0
2019-06,73046.0
2019-07,73354.0
2019-08,73662.0
2019-09,73970.0
2019-10,74278.0
2019-11,74586.0
2019-12,74894.0
2020-01,74829.0
2020-02,74768.0
2020-03,74707.0
2020-04,74646.0
2020-05,74585.0
2020-06,74524.0
2020-07,74463.0
2020-08,74402.0
2020-09,74341.0
2020-10,74280.0
2020-11,74219.0
2020-12,74158.0
